outlay_category,outlay_subcategory,changes_baseline_date,baseline_name,change_category,projected_fiscal_year,changes_projected_outlay
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,2003,-18.542
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,2004,-21.002
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,2005,-24.512
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,2006,-27.226
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,1997,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,1998,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,1999,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2000,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2001,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2002,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2003,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2004,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2005,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2006,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Economic,2007,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,1997,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,1998,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,1999,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2000,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2001,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2002,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2003,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2004,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2005,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2006,0.000
Total,Total,1997-03-01,March 1997 Baseline (Pre-Policy),Legislative,2007,0.000
Total,Total,1997-09-01,September 1997 Baseline,Economic,1997,-0.058
Total,Total,1997-09-01,September 1997 Baseline,Economic,1998,-1.666
Total,Total,1997-09-01,September 1997 Baseline,Economic,1999,-7.555
Total,Total,1997-09-01,September 1997 Baseline,Economic,2000,-18.606
Total,Total,1997-09-01,September 1997 Baseline,Economic,2001,-25.292
Total,Total,1997-09-01,September 1997 Baseline,Economic,2002,-31.280
Total,Total,1997-09-01,September 1997 Baseline,Economic,2003,-37.751
Total,Total,1997-09-01,September 1997 Baseline,Economic,2004,-44.607
Total,Total,1997-09-01,September 1997 Baseline,Economic,2005,-53.357
Total,Total,1997-09-01,September 1997 Baseline,Economic,2006,-63.143
Total,Total,1997-09-01,September 1997 Baseline,Economic,2007,-74.086
Total,Total,1997-09-01,September 1997 Baseline,Legislative,1997,0.878
Total,Total,1997-09-01,September 1997 Baseline,Legislative,1998,11.602
Total,Total,1997-09-01,September 1997 Baseline,Legislative,1999,-10.002
Total,Total,1997-09-01,September 1997 Baseline,Legislative,2000,-43.290
Total,Total,1997-09-01,September 1997 Baseline,Legislative,2001,-47.667
Total,Total,1997-09-01,September 1997 Baseline,Legislative,2002,-109.266
Total,Total,1997-09-01,September 1997 Baseline,Legislative,2003,-101.168
Total,Total,1997-09-01,September 1997 Baseline,Legislative,2004,-113.517
Total,Total,1997-09-01,September 1997 Baseline,Legislative,2005,-127.177
Total,Total,1997-09-01,September 1997 Baseline,Legislative,2006,-152.021
Total,Total,1997-09-01,September 1997 Baseline,Legislative,2007,-144.615
Total,Total,1998-01-01,January 1998 Baseline,Economic,1997,-0.110
Total,Total,1998-01-01,January 1998 Baseline,Economic,1998,-5.514
Total,Total,1998-01-01,January 1998 Baseline,Economic,1999,-7.092
Total,Total,1998-01-01,January 1998 Baseline,Economic,2000,-4.718
Total,Total,1998-01-01,January 1998 Baseline,Economic,2001,-6.760
Total,Total,1998-01-01,January 1998 Baseline,Economic,2002,-8.834
Total,Total,1998-01-01,January 1998 Baseline,Economic,2003,-11.850
Total,Total,1998-01-01,January 1998 Baseline,Economic,2004,-15.387
Total,Total,1998-01-01,January 1998 Baseline,Economic,2005,-19.476
Total,Total,1998-01-01,January 1998 Baseline,Economic,2006,-23.995
Total,Total,1998-01-01,January 1998 Baseline,Economic,2007,-28.575
Total,Total,1998-01-01,January 1998 Baseline,Legislative,1998,-0.634
Total,Total,1998-01-01,January 1998 Baseline,Legislative,1999,0.171
Total,Total,1998-01-01,January 1998 Baseline,Legislative,2000,0.011
Total,Total,1998-01-01,January 1998 Baseline,Legislative,2001,-0.090
Total,Total,1998-01-01,January 1998 Baseline,Legislative,2002,-0.126
Total,Total,1998-01-01,January 1998 Baseline,Legislative,2003,-0.080
Total,Total,1998-01-01,January 1998 Baseline,Legislative,2004,-0.126
Total,Total,1998-01-01,January 1998 Baseline,Legislative,2005,-0.167
Total,Total,1998-01-01,January 1998 Baseline,Legislative,2006,-0.203
Total,Total,1998-01-01,January 1998 Baseline,Legislative,2007,-0.249
Total,Total,1998-03-01,March 1998 Baseline,Economic,1998,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,1999,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,2000,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,2001,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,2002,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,2003,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,2004,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,2005,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,2006,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,2007,0.000
Total,Total,1998-03-01,March 1998 Baseline,Economic,2008,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,1998,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,1999,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,2000,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,2001,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,2002,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,2003,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,2004,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,2005,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,2006,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,2007,0.000
Total,Total,1998-03-01,March 1998 Baseline,Legislative,2008,0.000
Total,Total,1998-08-01,August 1998 Baseline,Economic,1998,-1.421
Total,Total,1998-08-01,August 1998 Baseline,Economic,1999,-8.974
Total,Total,1998-08-01,August 1998 Baseline,Economic,2000,-10.404
Total,Total,1998-08-01,August 1998 Baseline,Economic,2001,-11.654
Total,Total,1998-08-01,August 1998 Baseline,Economic,2002,-15.822
Total,Total,1998-08-01,August 1998 Baseline,Economic,2003,-24.415
Total,Total,1998-08-01,August 1998 Baseline,Economic,2004,-32.072
Total,Total,1998-08-01,August 1998 Baseline,Economic,2005,-40.268
Total,Total,1998-08-01,August 1998 Baseline,Economic,2006,-47.678
Total,Total,1998-08-01,August 1998 Baseline,Economic,2007,-55.660
Total,Total,1998-08-01,August 1998 Baseline,Economic,2008,-63.386
Total,Total,1998-08-01,August 1998 Baseline,Legislative,1998,1.074
Total,Total,1998-08-01,August 1998 Baseline,Legislative,1999,2.665
Total,Total,1998-08-01,August 1998 Baseline,Legislative,2000,4.116
Total,Total,1998-08-01,August 1998 Baseline,Legislative,2001,4.293
Total,Total,1998-08-01,August 1998 Baseline,Legislative,2002,3.906
Total,Total,1998-08-01,August 1998 Baseline,Legislative,2003,3.215
Total,Total,1998-08-01,August 1998 Baseline,Legislative,2004,2.323
Total,Total,1998-08-01,August 1998 Baseline,Legislative,2005,1.161
Total,Total,1998-08-01,August 1998 Baseline,Legislative,2006,0.794
Total,Total,1998-08-01,August 1998 Baseline,Legislative,2007,0.435
Total,Total,1998-08-01,August 1998 Baseline,Legislative,2008,-0.918
Total,Total,1999-01-01,January 1999 Baseline,Economic,1999,-9.715
Total,Total,1999-01-01,January 1999 Baseline,Economic,2000,-14.866
Total,Total,1999-01-01,January 1999 Baseline,Economic,2001,-14.599
Total,Total,1999-01-01,January 1999 Baseline,Economic,2002,-13.358
Total,Total,1999-01-01,January 1999 Baseline,Economic,2003,-11.855
Total,Total,1999-01-01,January 1999 Baseline,Economic,2004,-10.986
Total,Total,1999-01-01,January 1999 Baseline,Economic,2005,-10.805
Total,Total,1999-01-01,January 1999 Baseline,Economic,2006,-10.855
Total,Total,1999-01-01,January 1999 Baseline,Economic,2007,-11.527
Total,Total,1999-01-01,January 1999 Baseline,Economic,2008,-12.545
Total,Total,1999-01-01,January 1999 Baseline,Legislative,1999,17.147
Total,Total,1999-01-01,January 1999 Baseline,Legislative,2000,8.105
Total,Total,1999-01-01,January 1999 Baseline,Legislative,2001,2.465
Total,Total,1999-01-01,January 1999 Baseline,Legislative,2002,3.189
Total,Total,1999-01-01,January 1999 Baseline,Legislative,2003,3.151
Total,Total,1999-01-01,January 1999 Baseline,Legislative,2004,2.642
Total,Total,1999-01-01,January 1999 Baseline,Legislative,2005,2.765
Total,Total,1999-01-01,January 1999 Baseline,Legislative,2006,2.893
Total,Total,1999-01-01,January 1999 Baseline,Legislative,2007,3.105
Total,Total,1999-01-01,January 1999 Baseline,Legislative,2008,3.386
Total,Total,1999-04-01,April 1999 Baseline,Economic,1999,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2000,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2001,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2002,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2003,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2004,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2005,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2006,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2007,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2008,0.000
Total,Total,1999-04-01,April 1999 Baseline,Economic,2009,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,1999,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2000,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2001,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2002,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2003,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2004,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2005,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2006,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2007,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2008,0.000
Total,Total,1999-04-01,April 1999 Baseline,Legislative,2009,0.000
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,1999,-0.794
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2000,0.499
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2001,-0.400
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2002,-7.011
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2003,-11.360
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2004,-14.390
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2005,-17.564
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2006,-20.436
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2007,-23.086
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2008,-25.835
Total,Total,1999-07-01,July 1999 Baseline/Capped,Economic,2009,-28.701
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,1999,3.712
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2000,7.744
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2001,3.570
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2002,2.493
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2003,2.660
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2004,2.749
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2005,2.931
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2006,3.124
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2007,3.333
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2008,3.636
Total,Total,1999-07-01,July 1999 Baseline/Capped,Legislative,2009,3.878
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,1999,-0.255
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2000,-1.962
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2001,0.791
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2002,2.748
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2003,-1.014
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2004,-8.002
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2005,-13.105
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2006,-19.126
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2007,-24.045
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2008,-29.878
Total,Total,2000-01-01,January 2000 Capped Baseline,Economic,2009,-36.298
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,1999,0.000
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2000,32.911
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2001,10.758
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2002,9.495
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2003,7.643
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2004,6.987
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2005,7.169
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2006,7.555
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2007,8.390
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2008,9.025
Total,Total,2000-01-01,January 2000 Capped Baseline,Legislative,2009,9.463
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2000,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2001,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2002,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2003,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2004,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2005,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2006,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2007,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2008,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2009,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Economic,2010,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2000,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2001,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2002,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2003,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2004,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2005,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2006,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2007,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2008,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2009,0.000
Total,Total,2000-04-01,April 2000 Capped Baseline,Legislative,2010,0.000
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2000,0.101
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2001,2.653
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2002,3.313
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2003,-0.184
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2004,-1.378
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2005,-3.842
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2006,-8.151
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2007,-13.499
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2008,-19.106
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2009,-24.927
Total,Total,2000-07-01,July 2000 Capped Baseline,Economic,2010,-30.984
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2000,9.574
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2001,7.287
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2002,6.451
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2003,6.339
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2004,6.207
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2005,5.897
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2006,5.863
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2007,5.751
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2008,5.581
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2009,5.565
Total,Total,2000-07-01,July 2000 Capped Baseline,Legislative,2010,5.738
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2000,0.324
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2001,-6.888
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2002,-14.300
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2003,-10.363
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2004,-9.937
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2005,-12.143
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2006,-15.579
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2007,-18.854
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2008,-23.714
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2009,-29.151
Total,Total,2001-01-01,January 2001 Inflated Baseline,Economic,2010,-36.854
Total,Total,2001-01-01,January 2001 Inflated Baseline,Legislative,2000,13.566
Total,Total,2001-01-01,January 2001 Inflated Baseline,Legislative,2001,73.430
Total,Total,2001-01-01,January 2001 Inflated Baseline,Legislative,2002,132.908
Total,Total,2001-01-01,January 2001 Inflated Baseline,Legislative,2003,147.512
Total,Total,2001-01-01,January 2001 Inflated Baseline,Legislative,2004,159.501
Total,Total,2001-01-01,January 2001 Inflated Baseline,Legislative,2005,175.636
